id,timestamp,stored,actor,verb,object,result,authority,context
2bec9cb8-19e4-4033-ad6d-2809d0f5a46d,2024-10-05T16:26:40.0540000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'https://spy.lip6.fr/xapi/verbs/renamed', 'display': {'en-US': 'renamed'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/script', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/script', 'name': {'en-US': 'script'}, 'description': {'en-US': 'a panel that contains a program'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/oldvalue': ['script3'], 'https://spy.lip6.fr/xapi/extensions/value': ['erty']}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
2702c59c-df04-44d9-8d24-a204a016cf50,2024-10-05T16:26:33.7800000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'https://spy.lip6.fr/xapi/verbs/closed', 'display': {'en-US': 'closed'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
a96d2dba-3031-4117-9e95-cfa672669aa0,2024-10-05T16:26:32.9080000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'http://adlnet.gov/expapi/verbs/interacted', 'display': {'en-US': 'interacted'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/value': ['next'], 'https://spy.lip6.fr/xapi/extensions/content': ['il faut absoluement éviter les zones surveillées (en rouge).\nnos ingénieurs te proposent trois solutions, mais quelle est la plus efficace ?']}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
f7141d58-e3bf-4659-87da-4bcae6388d84,2024-10-05T16:26:30.9100000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'https://spy.lip6.fr/xapi/verbs/opened', 'display': {'en-US': 'opened'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/content': [""attention !\nun garde équipé d'une caméra protège cette salle.""]}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
beed6c91-6589-4eba-8364-c3b5ddd68cca,2024-10-05T16:26:30.6070000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'http://adlnet.gov/expapi/verbs/launched', 'display': {'en-US': 'launched'}}","{'objectType': 'Activity', 'id': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'definition': {'type': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'name': {'en-US': 'level'}, 'description': {'en-US': 'a level of a game or of a gamified learning platform. a level is logic partition of progression in any video game. completing a level means advancing in the progression of the game.'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/value': ['levels/infiltration/niveau10.xml'], 'https://spy.lip6.fr/xapi/extensions/context': ['infiltration'], 'https://w3id.org/xapi/seriousgames/extensions/progress': ['mission11']}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
a67db7fe-b87a-40a5-ab31-e9a003e8a806,2024-10-05T16:26:23.4570000Z,2024-10-05T16:28:30.788Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'http://adlnet.gov/expapi/verbs/exited', 'display': {'en-US': 'exited'}}","{'objectType': 'Activity', 'id': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'definition': {'type': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'name': {'en-US': 'level'}, 'description': {'en-US': 'a level of a game or of a gamified learning platform. a level is logic partition of progression in any video game. completing a level means advancing in the progression of the game.'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/value': ['levels/infiltration/niveau19.xml']}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
75390a99-a9bb-4363-9cc4-5414b5a9dedd,2024-10-05T16:24:33.6270000Z,2024-10-05T16:26:24.220Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'https://spy.lip6.fr/xapi/verbs/closed', 'display': {'en-US': 'closed'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
71ab3d21-c608-460d-b408-3638282c9ffa,2024-10-05T16:24:32.4750000Z,2024-10-05T16:26:24.220Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'http://adlnet.gov/expapi/verbs/interacted', 'display': {'en-US': 'interacted'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/value': ['next'], 'https://spy.lip6.fr/xapi/extensions/content': [""nous t'avons envoyé tous les blocs de programmation développées par nos ingénieurs. tu as un contrôle total des robots.""]}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
088ed6bc-2d08-43e6-88e9-90015d91a4fd,2024-10-05T16:24:29.5020000Z,2024-10-05T16:26:24.220Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'https://spy.lip6.fr/xapi/verbs/opened', 'display': {'en-US': 'opened'}}","{'objectType': 'Activity', 'id': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'definition': {'type': 'https://spy.lip6.fr/xapi/activity-types/briefing', 'name': {'en-US': 'briefing'}, 'description': {'en-US': 'the briefing panel'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/content': [""tiens ! nous retrouvons plok, c'est l'occasion de le sortir de là. il semblerait que le terminal de ce couloir contrôle les deux portes.""]}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
ccf61230-bc26-48ef-ac6d-aeb168770706,2024-10-05T16:24:29.1890000Z,2024-10-05T16:26:24.220Z,"{'objectType': 'Agent', 'name': '7DD00230', 'account': {'homePage': 'https://www.lip6.fr/mocah/', 'name': '7DD00230'}}","{'id': 'http://adlnet.gov/expapi/verbs/launched', 'display': {'en-US': 'launched'}}","{'objectType': 'Activity', 'id': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'definition': {'type': 'https://w3id.org/xapi/seriousgames/activity-types/level', 'name': {'en-US': 'level'}, 'description': {'en-US': 'a level of a game or of a gamified learning platform. a level is logic partition of progression in any video game. completing a level means advancing in the progression of the game.'}, 'extensions': {'https://spy.lip6.fr/xapi/extensions/value': ['levels/infiltration/niveau19.xml'], 'https://spy.lip6.fr/xapi/extensions/context': ['infiltration'], 'https://w3id.org/xapi/seriousgames/extensions/progress': ['mission20']}}}",,"{'objectType': 'Agent', 'name': 'New Client', 'mbox': 'mailto:hello@learninglocker.net'}",{}
